ID;Origem;Modal;Segmento
1575056;EmpresaParceira;MOTORCYCLE;Desistiu
340660;AutoCadastro;MOTORCYCLE;Fiel
1200236;AutoCadastro;MOTORCYCLE;Desistiu
1859605;EmpresaParceira;MOTORCYCLE;Desistiu
90563;AutoCadastro;MOTORCYCLE;Fiel
511721;AutoCadastro;MOTORCYCLE;Fiel
2619336;AutoCadastro;MOTORCYCLE;Fiel
2133272;EmpresaParceira;MOTORCYCLE;Desistiu
1355795;AutoCadastro;MOTORCYCLE;Fiel
1195740;AutoCadastro;MOTORCYCLE;Desistiu
892407;EmpresaParceira;MOTORCYCLE;Fiel
191335;AutoCadastro;MOTORCYCLE;Desistiu
4155220;EmpresaParceira;BIKE;Novo
1601940;EmpresaParceira;MOTORCYCLE;Fiel
1227536;EmpresaParceira;MOTORCYCLE;Fiel
557824;EmpresaParceira;BIKE;Novo
58380;EmpresaParceira;MOTORCYCLE;Fiel
2040524;AutoCadastro;MOTORCYCLE;Desistiu
1848335;AutoCadastro;BIKE;Desistiu
895781;EmpresaParceira;MOTORCYCLE;Fiel
2764660;EmpresaParceira;MOTORCYCLE;Fiel
305353;AutoCadastro;MOTORCYCLE;Desistiu
216610;AutoCadastro;MOTORCYCLE;Desistiu
843612;AutoCadastro;MOTORCYCLE;Fiel
1212910;AutoCadastro;MOTORCYCLE;Fiel
7509777;EmpresaParceira;BIKE;Novo
587920;AutoCadastro;MOTORCYCLE;Fiel
1673;EmpresaParceira;BIKE;Novo
7841430;EmpresaParceira;BIKE;Novo
1244867;EmpresaParceira;MOTORCYCLE;Fiel
2169158;EmpresaParceira;MOTORCYCLE;Fiel
1255484;AutoCadastro;BIKE;Desistiu
4413;EmpresaParceira;BIKE;Novo
1167449;AutoCadastro;MOTORCYCLE;Desistiu
2552437;AutoCadastro;MOTORCYCLE;Desistiu
2667670;AutoCadastro;MOTORCYCLE;Fiel
3333;EmpresaParceira;BIKE;Desistiu
939669;AutoCadastro;MOTORCYCLE;Fiel
1261055;AutoCadastro;MOTORCYCLE;Fiel
1145988;AutoCadastro;BIKE;Desistiu
2547472;AutoCadastro;MOTORCYCLE;Fiel
150178;EmpresaParceira;MOTORCYCLE;Fiel
440440;AutoCadastro;MOTORCYCLE;Desistiu
1741;EmpresaParceira;BIKE;Novo
452717;AutoCadastro;BIKE;Novo
372778;EmpresaParceira;BIKE;Novo
1847222;AutoCadastro;MOTORCYCLE;Desistiu
1738316;AutoCadastro;MOTORCYCLE;Desistiu
650811;EmpresaParceira;BIKE;Novo
1662791;AutoCadastro;BIKE;Novo
8424216;EmpresaParceira;CAR;Desistiu
2602021;EmpresaParceira;MOTORCYCLE;Fiel
1115;EmpresaParceira;BIKE;Novo
1094648;AutoCadastro;MOTORCYCLE;Fiel
8536;EmpresaParceira;MOTORCYCLE;Fiel
775815;AutoCadastro;MOTORCYCLE;Fiel
274966;AutoCadastro;MOTORCYCLE;Desistiu
2536676;EmpresaParceira;MOTORCYCLE;Fiel
804071;AutoCadastro;MOTORCYCLE;Desistiu
2747038;EmpresaParceira;BIKE;Novo
387343;AutoCadastro;CAR;Desistiu
425968;AutoCadastro;MOTORCYCLE;Desistiu
1079225;EmpresaParceira;MOTORCYCLE;Fiel
8728091;EmpresaParceira;CAR;Desistiu
541835;AutoCadastro;MOTORCYCLE;Desistiu
161619;AutoCadastro;MOTORCYCLE;Fiel
2353275;EmpresaParceira;CAR;Desistiu
594366;AutoCadastro;MOTORCYCLE;Fiel
485185;AutoCadastro;MOTORCYCLE;Fiel
1891011;EmpresaParceira;MOTORCYCLE;Novo
427761;EmpresaParceira;MOTORCYCLE;Fiel
1765359;AutoCadastro;BIKE;Desistiu
555605;AutoCadastro;MOTORCYCLE;Novo
1037634;AutoCadastro;MOTORCYCLE;Desistiu
2561764;EmpresaParceira;MOTORCYCLE;Novo
129033;AutoCadastro;MOTORCYCLE;Fiel
395359;EmpresaParceira;MOTORCYCLE;Fiel
1584894;AutoCadastro;BIKE;Desistiu
109063;AutoCadastro;MOTORCYCLE;Fiel
2462044;AutoCadastro;CAR;Desistiu
2988615;EmpresaParceira;CAR;Desistiu
199734;EmpresaParceira;MOTORCYCLE;Fiel
8329;EmpresaParceira;CAR;Desistiu
7679;EmpresaParceira;CAR;Desistiu
1201843;AutoCadastro;MOTORCYCLE;Desistiu
3069;EmpresaParceira;BIKE;Novo
886518;AutoCadastro;MOTORCYCLE;Desistiu
558464;AutoCadastro;MOTORCYCLE;Fiel
2494593;AutoCadastro;MOTORCYCLE;Fiel
2366952;EmpresaParceira;MOTORCYCLE;Desistiu
1089759;EmpresaParceira;MOTORCYCLE;Desistiu
930245;AutoCadastro;BIKE;Novo
1867606;AutoCadastro;MOTORCYCLE;Desistiu
1364771;AutoCadastro;BIKE;Novo
